id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
1330570780168125802,"Bonita Habitación, estancia mínima 2 noches",Benito Juárez,Private room,685.0,2.0,4,4.5,19.3699197,-99.177977,364,2
1330581661964690140,Park Life - Junior Suite Terrace,Cuajimalpa de Morelos,Entire home/apt,2341.0,1.0,0,4.84,19.35749,-99.27095,360,4
1330618619107105725,Beautiful apartment in Mexico,Cuauhtémoc,Entire home/apt,10296.0,1.0,0,4.84,19.42356,-99.1745,364,13
1330645665980764317,King airbnb,Cuauhtémoc,Private room,900.0,1.0,17,4.35,19.4501401,-99.155327,365,2
1335878361657741963,"Departamento en dos plantas,a min. de estadio GNP.",Iztacalco,Entire home/apt,1427.0,1.0,48,4.92,19.39571,-99.06853,306,1
1336186071850894418,Loft confortable Cuajimalpa,Cuajimalpa de Morelos,Entire home/apt,970.0,1.0,16,4.94,19.36519788736981,-99.29936919361351,179,2
1336289269773480795,Steps away from Pemex 24 hour security,Miguel Hidalgo,Entire home/apt,1557.32,1.0,55,4.8,19.44142,-99.17527,362,163
1336470940104414961,Kukun Homero Polanco,Miguel Hidalgo,Entire home/apt,3472.0,1.0,141,4.75,19.4350294,-99.1842378,365,11
1336545216459276495,"Coahuila Roma Norte, céntrico",Cuauhtémoc,Entire home/apt,2111.5,2.0,31,4.9,19.4112706,-99.16336640000002,218,2
1336592678575048739,Hermosa habitación en gran zona,Cuauhtémoc,Private room,879.0,1.0,93,4.9,19.42165,-99.16652,232,15
1336844038569801488,3BR House steps to Chapultepec-Condesa-Reforma,Miguel Hidalgo,Entire home/apt,3897.5,1.0,18,4.83,19.419669601204006,-99.17872343212366,284,1
1336907623021913355,Hostal hombres,Benito Juárez,Shared room,483.0,1.0,16,4.94,19.3926721,-99.1545556,365,8
1336979147103094375,Habitación baño privado magnifica ubicación,Cuauhtémoc,Private room,3595.0,1.0,22,4.86,19.422291226186967,-99.16686701231043,86,6
1337091870369568893,Hogar dulce hogar,Iztacalco,Entire home/apt,1180.0,1.0,25,4.68,19.40288759429949,-99.12426989525557,348,1
1337103271319669124,"More,",Coyoacán,Private room,1653.0,1.0,5,4.0,19.30860653870768,-99.17508096489716,176,2
1330662759751624698,Amplia casa super ubicada,Benito Juárez,Entire home/apt,2053.0,2.0,42,4.5,19.39827,-99.16163,289,2
1330698455593919489,Departamento cerca de marina,Tlalpan,Private room,622.0,1.0,12,3.92,19.30358,-99.12471,269,1
1330699112692523739,Near Airport w/ Private Terrace,Gustavo A. Madero,Private room,750.0,1.0,35,4.89,19.44897171155996,-99.06401306188184,361,4
1330720096487294571,"Ángel Aramis ,Torres cibeles",Cuauhtémoc,Entire home/apt,1883.0,1.0,24,4.75,19.4204766,-99.1668596,305,4
1330750081435839519,Bello y cómodo departamento T1,Venustiano Carranza,Entire home/apt,855.88,1.0,39,4.95,19.4409115,-99.0897466,340,7
1330761217935103923,"Excelente ubicación, a unos pasos de Av. Reforma",Cuauhtémoc,Entire home/apt,1274.7,2.0,37,4.76,19.4342534,-99.1547935,34,1
1330812883745588663,JC enjoy 1 Roma,Cuauhtémoc,Shared room,459.0,1.0,5,4.4,19.4045478,-99.1626819,365,9
1330813161002410973,JC enjoy 2 Roma,Cuauhtémoc,Shared room,474.0,1.0,4,3.75,19.405402713265563,-99.16380236521648,365,9
1330868165512849909,Centrally located | Terrace | Near Foro Sol Airpot,Venustiano Carranza,Private room,578.17,1.0,29,4.86,19.41587,-99.12337,347,35
1337116438050679109,cantos,Coyoacán,Private room,662.0,1.0,14,4.86,19.30861,-99.17459,176,2
1337120027206139833,"Artsy Roma - Private Rooftop, BBQ, Gym & AC",Cuauhtémoc,Entire home/apt,9039.35,1.0,29,4.9,19.40572635639846,-99.1629405104684,338,65
1337137766923004279,"Amazing 2Bdr 2Bth Apt Near Roma, Juarez, &Centro",Cuauhtémoc,Entire home/apt,1222.93,3.0,18,4.94,19.41723861951327,-99.149898737669,270,2
1337222418937880631,Vintage home in Roma Sur,Cuauhtémoc,Entire home/apt,5706.0,1.0,18,4.94,19.40804263814884,-99.1654220384539,128,1
1337256204812663124,Cuarto amueblado independiente,Tlalpan,Private room,913.0,1.0,0,4.84,19.297605407952474,-99.12415355443954,365,1
1337397452842030737,Departamento a 1 calle del Ángel/Reforma/Zona Rosa,Cuauhtémoc,Entire home/apt,7303.67,3.0,30,4.87,19.4287899,-99.1679592,286,2
1337653498887412602,Depto. a 1 cuadra Centro Médico,Cuauhtémoc,Entire home/apt,1139.33,5.0,7,5.0,19.4079144,-99.1492268,278,4
1337676771635283858,Escandón: Estilo y comodidad,Miguel Hidalgo,Entire home/apt,1506.36,2.0,42,4.69,19.4005298,-99.1749365,350,1
1337777123467772559,Departamento premium con rooftop y alberca Condesa,Cuauhtémoc,Entire home/apt,3995.0,1.0,16,4.56,19.41116,-99.16672,272,3
1337820074031421036,Loft en Terraza Privada… experiencias en las nubes,Benito Juárez,Entire home/apt,1813.56,1.0,50,4.88,19.381868,-99.1655674,266,2
1337838088548951352,"Nuevo super ubicado Coyocan,Hospitales,Estadio Azt",Coyoacán,Entire home/apt,1301.0,2.0,10,5.0,19.3024728,-99.1617018,332,1
1337972531342755003,S302 Totalmente Remodelado y Excelente Ubicación,Miguel Hidalgo,Entire home/apt,2588.03,7.0,8,5.0,19.43212,-99.18548,253,4
1330869763332219688,Room in City 10 minutes from the Concert Center 9,Venustiano Carranza,Private room,551.87,1.0,43,4.93,19.41639593051399,-99.12293583154678,335,35
1338049592931734543,Miniloft equipado en col. del valle,Benito Juárez,Entire home/apt,1225.0,1.0,2,4.5,19.3944511,-99.1624739,179,2
1338163018712368334,Cozy & Central CDMX,Cuauhtémoc,Entire home/apt,1404.0,1.0,67,4.6,19.45384849642469,-99.13009248099038,297,3
1338293017066937236,CDMX Metro Apartment- Hidden Gem,Cuauhtémoc,Entire home/apt,1205.5,2.0,1,5.0,19.44609332267077,-99.1408604046161,365,1
1338416812605856206,Cómoda habitación privada con baño propio en CDMX,Miguel Hidalgo,Private room,798.0,2.0,13,4.92,19.43358,-99.21431,165,1
1338527310532417216,Departamento Nuevo en Reforma,Cuauhtémoc,Entire home/apt,3995.0,1.0,3,4.0,19.4344442,-99.1536723,178,1
